license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
020-10029048597,GK Wholesale LLC,Recreational Wholesaler,GK Wholesale LLC,Recreational Producer,Exempt from Public Disclosure,Clackamas,2025-10-23,Tier II,Indoor,"9,547",0,, 
020-10087909431,Weird Farmz; Bella Vigna,Recreational Retailer,Bella Vigna Farms & Retailers Inc.,Recreational Producer,Exempt from Public Disclosure,Yamhill,2025-05-10,Tier II,Mixed,"2,880","28,442",, 
020-101632394C9,Humboldt Boyz,Recreational Wholesaler,Aloysius Wholesalers LLC,Recreational Producer,Exempt from Public Disclosure,Josephine,2025-07-22,Tier II,Mixed,"1,110","35,055",Propagation Producer, 
030-1017133515E,Green Dragon Extracts,Recreational Wholesaler,Green Dragon Extracts LLC / Green Dragon Wholesale LLC,Recreational Processor,Exempt from Public Disclosure,Clackamas,2025-07-27,,,0,0,"Topical Processor, Concentrate Processor, Edible Processor, Extract Processor, Industrial Hemp, Medical Marijuana Processor, Processing for Cardholders", 
030-101742659A2,Craft Extracts (ART),Recreational Wholesaler,JV Extraction LLC/JV Wholesale LLC,Recreational Processor,Exempt from Public Disclosure,Lane,2025-09-16,,,0,0,, 
030-1025231891B,Green Canopy Wholesale LLC,Recreational Wholesaler,Green Canopy Wholesale Inc.,Recreational Processor,Exempt from Public Disclosure,Multnomah,2025-01-21,,,0,0,, 
050-10000407C53,Kaleafa,Recreational Retailer,"All Systems As Promised, Inc. / WWMP, LLC",Recreational Retailer,10920 SW BEAVERTON HILLSDALE HWY BEAVERTON OR  97005-3003,Washington,2025-01-29,,,0,0,, 
050-10000590807,DiamondTREE,Recreational Retailer,"Diamond Tree, Inc",Recreational Retailer,2715 NE HIGHWAY 20 BEND OR  97701-9595,Deschutes,2024-12-31,,,0,0,Medical Marijuana Retailer, 
050-10000680436,MARITIME CAFE,Recreational Retailer,Elsner Inc.,Recreational Retailer,17417 SE MCLOUGHLIN BLVD MILWAUKIE OR  97267-5906,Clackamas,2024-12-31,,,0,0,, 
050-1000071214D,DiamondTREE,Recreational Retailer,"Diamond Tree, Inc",Recreational Retailer,1233 NW GALVESTON AVE BEND OR  97703-2433,Deschutes,2024-12-08,,,0,0,Medical Marijuana Retailer, 
