activity_id,source_system,source_record_id,activity_month,scope,facility_id,facility_name,facility_type,state_province,country,grid_region,product_line_id,product_line_name,product_family,activity_category,factor_type,activity_amount,activity_unit,cost_usd,evidence_reference,factor_id,factor_version,source_authority,factor_value_kg_co2e_per_unit,kg_co2e,metric_tons_co2e,has_negative_activity,has_missing_facility_id,has_missing_product_line_id,has_invalid_activity_month,has_unknown_activity_type,has_missing_facility_join,has_missing_product_line_join,has_missing_factor_join,is_reportable_emissions_row,qa_status_label
49306b3f3573a0f939027121bab1e683,shipping_miles,1055,2025-10-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,98.9906,ton_mile,610.52,SHP-GHG-202510-0081,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,16.2344584000,0.01623445840000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
05ef9d47bb0a1b33d1a48d1de6b4b861,packaging_materials,26,2025-01-01,Scope 3,FAC004,Denver Production Kitchen,manufacturing,CO,US,CO,PL001,Gummies,edibles,plastic,packaging_plastic_kg,401.9700,kg,1383.56,PKG-202501-FAC004-PL001-PLA,EF_PLASTIC_KG_2025,2025.1,Synthetic material factor,2.650000,1065.2205000000,1.0652205000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
baf0c5004402be9a313a5088fb04e184,shipping_miles,1058,2025-10-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,137.6674,ton_mile,766.70,SHP-GHG-202510-0084,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,22.5774536000,0.02257745360000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
253b6a91639bb4d29cd9e87cd2258ff0,packaging_materials,267,2025-08-01,Scope 3,FAC002,Clackamas Distribution Center,distribution,OR,US,OR,PL001,Gummies,edibles,glass,packaging_glass_kg,1855.2000,kg,1055.88,PKG-202508-FAC002-PL001-GLA,EF_GLASS_KG_2025,2025.1,Synthetic material factor,0.910000,1688.2320000000,1.6882320000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
b23be7037846e9d7a1a6d822130b95b5,shipping_miles,276,2025-03-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,442.3970,ton_mile,2165.08,SHP-GHG-202503-0054,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,72.5531080000,0.07255310800000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
718dbb25292857e2ce406c484152695b,shipping_miles,717,2025-07-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,361.2860,ton_mile,1001.63,SHP-GHG-202507-0060,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,59.2509040000,0.05925090400000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
a4de98d47ecd833a5c7fa3933e54dd17,packaging_materials,315,2025-09-01,Scope 3,FAC004,Denver Production Kitchen,manufacturing,CO,US,CO,PL001,Gummies,edibles,glass,packaging_glass_kg,2284.3500,kg,1216.01,PKG-202509-FAC004-PL001-GLA,EF_GLASS_KG_2025,2025.1,Synthetic material factor,0.910000,2078.7585000000,2.0787585000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
946f43c9d229c7b203a3b46cd01e3070,shipping_miles,1085,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,206.6658,ton_mile,944.57,SHP-GHG-202511-0000,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,33.8931912000,0.03389319120000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
6ad7711ec7d2ff73e9374e7f0b6bccc0,shipping_miles,1096,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,210.2283,ton_mile,665.55,SHP-GHG-202511-0011,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,34.4774412000,0.03447744120000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
c39f98782e387c32804af50777a7b2c7,packaging_materials,387,2025-11-01,Scope 3,FAC004,Denver Production Kitchen,manufacturing,CO,US,CO,PL001,Gummies,edibles,glass,packaging_glass_kg,2886.7300,kg,863.57,PKG-202511-FAC004-PL001-GLA,EF_GLASS_KG_2025,2025.1,Synthetic material factor,0.910000,2626.9243000000,2.6269243000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
6ff9dbf84babd16af950307dc1a9ec30,shipping_miles,1246,2025-12-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,423.4825,ton_mile,1787.75,SHP-GHG-202512-0027,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,69.4511300000,0.06945113000000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
6170b838b5cc02f145a552010278d497,shipping_miles,1245,2025-12-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,166.3383,ton_mile,983.46,SHP-GHG-202512-0026,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,27.2794812000,0.02727948120000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
5931a22a26bb1644d637571d37d21e47,shipping_miles,1113,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,422.3685,ton_mile,1488.65,SHP-GHG-202511-0028,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,69.2684340000,0.06926843400000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
f9fed6dc699a105c0be74a5eb7ee77d1,shipping_miles,1115,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,324.2354,ton_mile,848.14,SHP-GHG-202511-0030,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,53.1746056000,0.05317460560000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
b4d001558cc2fb586273a146eab9f96f,shipping_miles,1116,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,508.7324,ton_mile,1527.37,SHP-GHG-202511-0031,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,83.4321136000,0.08343211360000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
846a658321f9f2838a340b7146fe44db,shipping_miles,1138,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,249.4580,ton_mile,977.56,SHP-GHG-202511-0053,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,40.9111120000,0.04091111200000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
e19a1a27e7e6b3d7a5db8c0ba6c867b8,shipping_miles,246,2025-03-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,air,freight_air_ton_mile,200.9244,ton_mile,3847.32,SHP-GHG-202503-0024,EF_AIR_TON_MILE_2025,2025.1,Synthetic freight factor,1.102000,221.4186888000,0.22141868880000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
7cb3a888e2fd8b000fdeb79fb3b7d28f,packaging_materials,111,2025-04-01,Scope 3,,,,,,,PL001,Gummies,edibles,glass,packaging_glass_kg,2874.2800,kg,1801.08,PKG-202504-FAC001-PL001-GLA,EF_GLASS_KG_2025,2025.1,Synthetic material factor,0.910000,2615.5948000000,2.6155948000000000,f,t,f,f,f,t,f,f,f,⚠️ Missing facility ID
d8fa9b4bdf233a6e6a3ac0640805a669,shipping_miles,1158,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,78.5652,ton_mile,433.39,SHP-GHG-202511-0073,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,12.8846928000,0.01288469280000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
a65491f224bfa91be672c739eeb1e8bd,shipping_miles,1159,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,549.7606,ton_mile,2589.75,SHP-GHG-202511-0074,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,90.1607384000,0.09016073840000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
5d9de9f6b8cf39ecbfe1dd62b59ba9e0,shipping_miles,911,2025-09-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,187.6279,ton_mile,848.90,SHP-GHG-202509-0037,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,30.7709756000,0.03077097560000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
6b5d158b780ef417b74d12c127b904ae,shipping_miles,1457,2026-02-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,air,freight_air_ton_mile,24.6454,ton_mile,1461.95,SHP-GHG-202602-0023,EF_AIR_TON_MILE_2025,2025.1,Synthetic freight factor,1.102000,27.1592308000,0.02715923080000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
5121ecedfd490a05138afb2b52801e47,shipping_miles,1176,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,258.9202,ton_mile,734.92,SHP-GHG-202511-0091,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,42.4629128000,0.04246291280000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
71fed89615e3985e7b4981b0a886d8c3,shipping_miles,1179,2025-11-01,Scope 3,FAC001,Portland Production Kitchen,manufacturing,OR,US,OR,PL001,Gummies,edibles,truck,freight_truck_ton_mile,155.6567,ton_mile,816.31,SHP-GHG-202511-0094,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,25.5276988000,0.02552769880000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
2b56b9f9289cdc22db65cc403f367b9a,shipping_miles,1441,2026-02-01,Scope 3,FAC003,Vancouver Warehouse,warehouse,WA,US,WA,PL001,Gummies,edibles,truck,freight_truck_ton_mile,231.6731,ton_mile,971.46,SHP-GHG-202602-0007,EF_TRUCK_TON_MILE_2025,2025.1,Synthetic freight factor,0.164000,37.9943884000,0.03799438840000000000,f,f,f,f,f,f,f,f,t,✅ Reportable
